data,sample_size,RMSE,MAE,time_took,kernel
airplane,9680,0.900209748,,257.696041,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,10480,0.930190679,,321.804124,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,11280,0.95362676,,394.956062,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,12080,1.046031196,,479.813204,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,12880,0.972178511,,576.385029,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,13680,0.916298281,,683.864,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,14480,0.966690821,,804.52943,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,15280,1.04401312,,937.718764,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,80,0.997779565,,0.018752,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,880,1.515515577,,1.519857,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,1680,0.978554563,,3.865002,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,2480,0.877001303,,8.326061,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,3280,0.967489869,,15.61262,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,4080,0.906851567,,26.351763,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,4880,0.902077288,,40.920024,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,5680,1.151795051,,60.367028,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,6480,1.123906378,,87.231409,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,7280,0.941602444,,120.692678,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,8080,0.980932976,,161.392297,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,8880,1.128105941,,209.030188,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,9680,1.060560021,,266.288305,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,10480,1.070762416,,334.461625,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,11280,1.007917912,,414.51304,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,12080,0.982270214,,507.083075,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,12880,1.007780185,,651.418386,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,13680,0.974277523,,778.095353,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,14480,1.132158459,,926.737369,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,15280,0.96939094,,1074.335775,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,80,1.178033273,,0.022341,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,880,1.006372863,,1.519785,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,1680,1.076578994,,4.120263,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,2480,1.051622803,,9.14018,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,3280,0.881185515,,17.346245,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,4080,1.104408428,,29.418479,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,4880,1.140270399,,46.180975,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
