data,sample_size,RMSE,MAE,time_took,kernel
abalone,1760,2.517413102,1.705682246,47.899236,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2000,2.005817209,1.411407966,72.208983,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2240,2.510215569,1.729020953,92.039056,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2480,2.178699984,1.518436826,110.906963,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2720,2.172338505,1.565743121,137.574364,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2960,2.277339967,1.572602307,167.094735,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,3200,2.059440883,1.486079351,191.289067,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,80,2.510457974,,0.180452,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,480,2.417943069,,5.282944,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,880,2.231122107,,18.015336,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1280,2.405401409,,30.919182,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1680,2.190254331,,47.836155,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2080,2.308323323,,77.281862,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2480,2.363568702,,117.681959,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2880,2.099648499,,163.349968,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,3280,2.143420333,,226.268754,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,80,1.998555552,1.490504962,0.166718,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,320,2.224042583,1.677712943,2.484365,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,560,2.01602312,1.469821953,8.698136,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,800,2.263125717,1.607241505,16.937045,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1040,2.623832237,1.743121155,24.839016,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1280,1.967203373,1.413210578,34.574181,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1520,2.427117234,1.687468822,40.08321,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1760,2.081526708,1.490054783,53.84767,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2000,2.28730414,1.619071984,65.828911,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2240,2.298205149,1.563139495,100.735503,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2480,2.071244959,1.485977069,114.376747,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2720,2.221261111,1.552415992,150.074757,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2960,2.082430551,1.480198147,167.306389,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,3200,2.182614692,1.558807453,210.304709,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,80,2.377559488,2.008205898,0.188796,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,320,3.265656068,2.156910873,2.208925,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,560,2.096666431,1.478221486,7.994051,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,800,2.282497666,1.618474781,17.4508,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1040,2.165622515,1.447254066,24.877567,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1280,2.017260453,1.513767769,40.050769,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1520,2.484162844,1.651920983,42.457415,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1760,2.023318144,1.479637743,53.846525,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2000,2.018596937,1.473583552,65.845785,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2240,2.214347631,1.593765531,95.235103,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2480,2.218005568,1.521169929,120.864639,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2720,2.159443584,1.536846918,145.881667,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2960,2.153937635,1.524439136,172.115839,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,3200,2.155266328,1.525032657,215.686032,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,80,2.089493397,1.816146284,0.215504,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,320,2.317520327,1.739011922,2.460513,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,560,2.22558812,1.756769487,8.323701,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,800,2.146294081,1.546128724,18.898922,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1040,2.124770085,1.517816127,27.112739,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1280,1.987778704,1.466937257,35.032588,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1520,2.20147575,1.53086678,41.512583,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,1760,2.078425912,1.476135347,54.083465,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2000,2.224397172,1.586708088,68.207594,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2240,2.262539595,1.562595913,102.493724,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2480,2.09600729,1.497459974,120.937442,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2720,2.174190323,1.548797096,133.345289,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,2960,1.986493687,1.469772998,172.311903,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,3200,2.003313972,1.439832294,209.487105,"RationalQuadratic(alpha=0.1,  length_scale=1)"
abalone,80,2.337904865,0.180161,,"RationalQuadratic(alpha=2,length_scale=0.5)"
